BIN码,银行缩写,银行名称,卡类型,卡号长度,数据来源
103,ABC,中国农业银行,借记卡,19,LocalDB
18572,KMRCU,昆明农村信用联合社,借记卡,18,LocalDB
303,CEB,中国光大银行,借记卡,16,LocalDB
356390,CITIC,中信银行,信用卡,16,LocalDB
356391,CITIC,中信银行,信用卡,16,LocalDB
356392,CITIC,中信银行,信用卡,16,LocalDB
356827,SHBANK,上海银行,信用卡,16,LocalDB
356828,SHBANK,上海银行,信用卡,16,LocalDB
356829,SHBANK,上海银行,信用卡,16,LocalDB
356830,SHBANK,上海银行,信用卡,16,LocalDB
356837,CEB,中国光大银行,信用卡,16,LocalDB
356838,CEB,中国光大银行,信用卡,16,LocalDB
356839,CEB,中国光大银行,信用卡,16,LocalDB
356840,CEB,中国光大银行,信用卡,16,LocalDB
356841,CEB,中国光大银行,信用卡,16,LocalDB
356850,SPDB,上海浦东发展银行,信用卡,16,LocalDB
356851,SPDB,上海浦东发展银行,信用卡,16,LocalDB
356852,SPDB,上海浦东发展银行,信用卡,16,LocalDB
356856,CMBC,中国民生银行,信用卡,16,LocalDB
356857,CMBC,中国民生银行,信用卡,16,LocalDB
356858,CMBC,中国民生银行,信用卡,16,LocalDB
356859,CMBC,中国民生银行,信用卡,16,LocalDB
356868,SPABANK,平安银行,信用卡,16,LocalDB
356869,SPABANK,平安银行,信用卡,16,LocalDB
356885,CMB,招商银行,信用卡,16,LocalDB
356886,CMB,招商银行,信用卡,16,LocalDB
356887,CMB,招商银行,信用卡,16,LocalDB
356888,CMB,招商银行,信用卡,16,LocalDB
356889,CMB,招商银行,信用卡,16,LocalDB
356890,CMB,招商银行,信用卡,16,LocalDB
370247,ICBC,中国工商银行,信用卡,15,LocalDB
376966,CITIC,中信银行,信用卡,15,LocalDB
376968,CITIC,中信银行,信用卡,15,LocalDB
376969,CITIC,中信银行,信用卡,15,LocalDB
400360,CITIC,中信银行,信用卡,16,LocalDB
402673,SHBANK,上海银行,信用卡,16,LocalDB
402674,SHBANK,上海银行,信用卡,16,LocalDB
403361,ABC,中国农业银行,信用卡,16,LocalDB
403391,CITIC,中信银行,信用卡,16,LocalDB
403392,CITIC,中信银行,信用卡,16,LocalDB
403393,CITIC,中信银行,信用卡,16,LocalDB
404117,ABC,中国农业银行,信用卡,16,LocalDB
404118,ABC,中国农业银行,信用卡,16,LocalDB
404119,ABC,中国农业银行,信用卡,16,LocalDB
404120,ABC,中国农业银行,信用卡,16,LocalDB
404121,ABC,中国农业银行,信用卡,16,LocalDB
404157,CITIC,中信银行,信用卡,16,LocalDB
404158,CITIC,中信银行,信用卡,16,LocalDB
404159,CITIC,中信银行,信用卡,16,LocalDB
404171,CITIC,中信银行,信用卡,16,LocalDB
404172,CITIC,中信银行,信用卡,16,LocalDB
404173,CITIC,中信银行,信用卡,16,LocalDB
404174,CITIC,中信银行,信用卡,16,LocalDB
404738,SPDB,上海浦东发展银行,信用卡,16,LocalDB
404739,SPDB,上海浦东发展银行,信用卡,16,LocalDB
405512,COMM,交通银行,借记卡,17,LocalDB
406252,CEB,中国光大银行,信用卡,16,LocalDB
406254,CEB,中国光大银行,信用卡,16,LocalDB
406365,GDB,广东发展银行,信用卡,16,LocalDB
406366,GDB,广东发展银行,信用卡,16,LocalDB
407405,CMBC,中国民生银行,信用卡,16,LocalDB
409666,BOC,中国银行,信用卡,16,LocalDB
410062,CMB,招商银行,借记卡,16,LocalDB
412962,SPABANK,平安银行,借记卡,16,LocalDB
412963,SPABANK,平安银行,借记卡,16,LocalDB
415599,CMBC,中国民生银行,借记卡,16,LocalDB
415752,SPABANK,平安银行,借记卡,16,LocalDB
415753,SPABANK,平安银行,借记卡,16,LocalDB
421317,BJBANK,北京银行,借记卡,16,LocalDB
421349,CCB,中国建设银行,借记卡,16,LocalDB
421393,CMBC,中国民生银行,借记卡,16,LocalDB
421865,CMBC,中国民生银行,借记卡,16,LocalDB
421869,CMBC,中国民生银行,信用卡,16,LocalDB
421870,CMBC,中国民生银行,信用卡,16,LocalDB
421871,CMBC,中国民生银行,信用卡,16,LocalDB
422160,BJBANK,北京银行,借记卡,16,LocalDB
422161,BJBANK,北京银行,借记卡,16,LocalDB
425862,CEB,中国光大银行,信用卡,16,LocalDB
427020,ICBC,中国工商银行,信用卡,16,LocalDB
427030,ICBC,中国工商银行,信用卡,16,LocalDB
427570,CMBC,中国民生银行,借记卡,16,LocalDB
427571,CMBC,中国民生银行,借记卡,16,LocalDB
428911,GDB,广东发展银行,信用卡,16,LocalDB
433666,CITIC,中信银行,信用卡,16,LocalDB
433667,CITIC,中信银行,信用卡,16,LocalDB
433668,CITIC,中信银行,信用卡,16,LocalDB
433669,CITIC,中信银行,信用卡,16,LocalDB
433670,CITIC,中信银行,借记卡,16,LocalDB
433671,CITIC,中信银行,借记卡,16,LocalDB
433680,CITIC,中信银行,借记卡,16,LocalDB
434061,CCB,中国建设银行,借记卡,16,LocalDB
434062,CCB,中国建设银行,借记卡,16,LocalDB
435744,SPABANK,平安银行,信用卡,16,LocalDB
435745,SPABANK,平安银行,信用卡,16,LocalDB
436742,CCB,中国建设银行,借记卡,19,LocalDB
436745,CCB,中国建设银行,信用卡,16,LocalDB
436748,CCB,中国建设银行,信用卡,16,LocalDB
436768,GDB,广东发展银行,信用卡,16,LocalDB
436769,GDB,广东发展银行,信用卡,16,LocalDB
436770,GDB,广东发展银行,信用卡,16,LocalDB
436771,GDB,广东发展银行,信用卡,16,LocalDB
438088,BOC,中国银行,信用卡,16,LocalDB
438588,CIB,兴业银行,借记卡,18,LocalDB
438589,CIB,兴业银行,借记卡,18,LocalDB
438600,SHBANK,上海银行,借记卡,16,LocalDB
439188,CMB,招商银行,信用卡,16,LocalDB
439225,CMB,招商银行,信用卡,16,LocalDB
439226,CMB,招商银行,信用卡,16,LocalDB
439227,CMB,招商银行,信用卡,16,LocalDB
442729,CITIC,中信银行,借记卡,16,LocalDB
442730,CITIC,中信银行,借记卡,16,LocalDB
451289,CIB,兴业银行,信用卡,16,LocalDB
451290,CIB,兴业银行,信用卡,16,LocalDB
451810,ICBC,中国工商银行,信用卡,16,LocalDB
451811,ICBC,中国工商银行,信用卡,16,LocalDB
453242,CCB,中国建设银行,借记卡,16,LocalDB
456351,BOC,中国银行,借记卡,19,LocalDB
456418,SPDB,上海浦东发展银行,信用卡,16,LocalDB
45806,ICBC,中国工商银行,信用卡,16,LocalDB
458123,COMM,交通银行,信用卡,16,LocalDB
458124,COMM,交通银行,信用卡,16,LocalDB
461982,CIB,兴业银行,信用卡,16,LocalDB
463758,ABC,中国农业银行,信用卡,16,LocalDB
464580,CMBC,中国民生银行,信用卡,16,LocalDB
464581,CMBC,中国民生银行,信用卡,16,LocalDB
468203,CMB,招商银行,借记卡,16,LocalDB
472067,CMBC,中国民生银行,借记卡,16,LocalDB
472068,CMBC,中国民生银行,借记卡,16,LocalDB
479229,CMB,招商银行,信用卡,16,LocalDB
481699,CEB,中国光大银行,信用卡,16,LocalDB
483536,SPABANK,平安银行,信用卡,16,LocalDB
486466,SHBANK,上海银行,信用卡,16,LocalDB
486493,CIB,兴业银行,信用卡,16,LocalDB
486494,CIB,兴业银行,信用卡,16,LocalDB
486495,SCBHK,渣打银行（香港）,信用卡,16,LocalDB
486497,CEB,中国光大银行,信用卡,16,LocalDB
486861,CIB,兴业银行,信用卡,16,LocalDB
487013,GDB,广东发展银行,信用卡,16,LocalDB
489592,CCB,中国建设银行,信用卡,16,LocalDB
49102,ABC,中国农业银行,准贷记卡,16,LocalDB
491031,CCB,中国建设银行,借记卡,16,LocalDB
491032,GDB,广东发展银行,信用卡,16,LocalDB
491033,GDB,广东发展银行,信用卡,16,LocalDB
491034,GDB,广东发展银行,信用卡,16,LocalDB
491035,GDB,广东发展银行,信用卡,16,LocalDB
491036,GDB,广东发展银行,信用卡,16,LocalDB
491037,GDB,广东发展银行,信用卡,16,LocalDB
491038,GDB,广东发展银行,信用卡,16,LocalDB
493427,GDB,广东发展银行,信用卡,16,LocalDB
498451,SPDB,上海浦东发展银行,信用卡,16,LocalDB
504923,JSBANK,江苏银行,借记卡,16,LocalDB
512425,CMB,招商银行,借记卡,16,LocalDB
512431,NBBANK,宁波银行,信用卡,16,LocalDB
512466,CMBC,中国民生银行,信用卡,16,LocalDB
514027,ABC,中国农业银行,信用卡,16,LocalDB
514906,CITIC,中信银行,信用卡,16,LocalDB
515672,SPDB,上海浦东发展银行,信用卡,16,LocalDB
517636,CMBC,中国民生银行,信用卡,16,LocalDB
517650,SPDB,上海浦东发展银行,信用卡,16,LocalDB
518212,CITIC,中信银行,信用卡,16,LocalDB
518364,GDB,广东发展银行,信用卡,16,LocalDB
518476,BOC,中国银行,信用卡,16,LocalDB
518710,CMB,招商银行,信用卡,16,LocalDB
518718,CMB,招商银行,信用卡,16,LocalDB
518905,PSBC,中国邮政储蓄银行,信用卡,16,LocalDB
519412,ABC,中国农业银行,信用卡,16,LocalDB
519413,ABC,中国农业银行,信用卡,16,LocalDB
519498,SHBANK,上海银行,信用卡,16,LocalDB
520082,ABC,中国农业银行,信用卡,16,LocalDB
520083,ABC,中国农业银行,信用卡,16,LocalDB
520108,CITIC,中信银行,信用卡,16,LocalDB
520131,SHBANK,上海银行,信用卡,16,LocalDB
520152,GDB,广东发展银行,信用卡,16,LocalDB
520169,COMM,交通银行,信用卡,16,LocalDB
520194,NBBANK,宁波银行,信用卡,16,LocalDB
520382,GDB,广东发展银行,信用卡,16,LocalDB
521302,CMB,招商银行,信用卡,16,LocalDB
521899,COMM,交通银行,信用卡,16,LocalDB
522001,BJBANK,北京银行,信用卡,16,LocalDB
523036,CIB,兴业银行,信用卡,16,LocalDB
523952,CMBC,中国民生银行,信用卡,16,LocalDB
523959,HXBANK,华夏银行,信用卡,16,LocalDB
524011,CMB,招商银行,借记卡,16,LocalDB
524031,SHBANK,上海银行,信用卡,16,LocalDB
524047,ICBC,中国工商银行,信用卡,16,LocalDB
524070,CIB,兴业银行,信用卡,16,LocalDB
524090,CEB,中国光大银行,信用卡,16,LocalDB
524091,ICBC,中国工商银行,信用卡,16,LocalDB
524094,CCB,中国建设银行,借记卡,16,LocalDB
525746,BOC,中国银行,信用卡,16,LocalDB
525998,SPDB,上海浦东发展银行,信用卡,16,LocalDB
526410,CCB,中国建设银行,借记卡,16,LocalDB
526855,SPABANK,平安银行,信用卡,16,LocalDB
527414,CIB,兴业银行,信用卡,16,LocalDB
528020,SPABANK,平安银行,信用卡,16,LocalDB
528057,CIB,兴业银行,信用卡,16,LocalDB
528708,HXBANK,华夏银行,信用卡,16,LocalDB
528709,HXBANK,华夏银行,信用卡,16,LocalDB
528856,ICBC,中国工商银行,信用卡,16,LocalDB
528931,GDB,广东发展银行,信用卡,16,LocalDB
528948,CMBC,中国民生银行,信用卡,16,LocalDB
530970,ICBC,中国工商银行,信用卡,16,LocalDB
530984,ICBC,中国工商银行,信用卡,16,LocalDB
530985,ICBC,中国工商银行,信用卡,16,LocalDB
530986,ICBC,中国工商银行,信用卡,16,LocalDB
530987,ICBC,中国工商银行,信用卡,16,LocalDB
530988,ICBC,中国工商银行,信用卡,16,LocalDB
530989,ICBC,中国工商银行,信用卡,16,LocalDB
530990,ICBC,中国工商银行,信用卡,16,LocalDB
531659,SPABANK,平安银行,信用卡,16,LocalDB
531693,CCB,中国建设银行,信用卡,16,LocalDB
532421,CCB,中国建设银行,借记卡,16,LocalDB
532422,CCB,中国建设银行,借记卡,16,LocalDB
532423,CCB,中国建设银行,借记卡,16,LocalDB
532424,CCB,中国建设银行,借记卡,16,LocalDB
532425,CCB,中国建设银行,借记卡,16,LocalDB
532426,CCB,中国建设银行,借记卡,16,LocalDB
532427,CCB,中国建设银行,借记卡,16,LocalDB
532428,CCB,中国建设银行,借记卡,16,LocalDB
532429,CCB,中国建设银行,借记卡,16,LocalDB
532458,CCB,中国建设银行,信用卡,16,LocalDB
53591,ABC,中国农业银行,准贷记卡,16,LocalDB
539867,HXBANK,华夏银行,信用卡,16,LocalDB
539868,HXBANK,华夏银行,信用卡,16,LocalDB
541709,GDB,广东发展银行,信用卡,16,LocalDB
541710,GDB,广东发展银行,信用卡,16,LocalDB
543159,CEB,中国光大银行,信用卡,16,LocalDB
545217,CMBC,中国民生银行,信用卡,16,LocalDB
545392,CMBC,中国民生银行,信用卡,16,LocalDB
545393,CMBC,中国民生银行,信用卡,16,LocalDB
545431,CMBC,中国民生银行,信用卡,16,LocalDB
545447,CMBC,中国民生银行,信用卡,16,LocalDB
545619,CMB,招商银行,信用卡,16,LocalDB
545620,CMB,招商银行,信用卡,16,LocalDB
